Protein	Protein ID	Entry Name	Gene	Description	14WIS Spectral Count	14WS Spectral Count	34WIS Spectral Count	34WS Spectral Count	39WIS Spectral Count	39WS Spectral Count	46WIS Spectral Count	46WS Spectral Count	55WIS Spectral Count	55WS Spectral Count	61WIS Spectral Count	61WS Spectral Count	80WIS Spectral Count	80WS Spectral Count	82WIS Spectral Count	82WS Spectral Count
tr|A0A5F8A0Y6|A0A5F8A0Y6_MACMU	A0A5F8A0Y6	A0A5F8A0Y6_MACMU	RAN	GTP-binding nuclear protein Ran	3	0	4	3	15	4	8	4	4	4	3	3	3	4	3	2
tr|F7GVP7|F7GVP7_MACMU	F7GVP7	F7GVP7_MACMU	GPX1	Glutathione peroxidase	0	11	0	6	0	2	0	1	5	19	0	7	2	6	2	6
tr|F7FVX9|F7FVX9_MACMU	F7FVX9	F7FVX9_MACMU	CDC42	Cell division control protein 42 homolog	4	3	4	1	11	0	8	1	5	3	9	1	8	0	7	0
tr|A0A1D5QQX5|A0A1D5QQX5_MACMU	A0A1D5QQX5	A0A1D5QQX5_MACMU	EEF2	Elongation factor 2	3	1	4	2	8	5	13	2	1	2	3	2	4	2	10	1
tr|F6XLR8|F6XLR8_MACMU	F6XLR8	F6XLR8_MACMU	YWHAG	14-3-3 protein gamma	4	3	1	2	7	2	4	3	7	7	5	2	3	5	4	3
tr|F7H4J1|F7H4J1_MACMU	F7H4J1	F7H4J1_MACMU	BLVRA	Biliverdin reductase A	5	4	2	3	4	3	2	3	4	3	2	3	4	4	11	4
tr|F7GN57|F7GN57_MACMU	F7GN57	F7GN57_MACMU	IDH1	Isocitrate dehydrogenase [NADP]	6	1	5	4	6	1	8	3	8	3	3	2	4	1	4	0
tr|F7GY91|F7GY91_MACMU	F7GY91	F7GY91_MACMU	RAC1	Rac family small GTPase 1	9	1	7	0	8	0	10	0	4	0	9	1	3	0	6	0
tr|A0A5F8AMU1|A0A5F8AMU1_MACMU	A0A5F8AMU1	A0A5F8AMU1_MACMU	PFKL	ATP-dependent 6-phosphofructokinase	3	4	5	0	1	0	2	1	10	3	3	1	8	0	15	1
tr|A0A1D5QCN2|A0A1D5QCN2_MACMU	A0A1D5QCN2	A0A1D5QCN2_MACMU	RHOA	Ras homolog family member A	5	2	5	1	6	1	5	1	5	1	10	0	5	0	7	1
tr|A0A1D5R251|A0A1D5R251_MACMU	A0A1D5R251	A0A1D5R251_MACMU	MDH1	Malate dehydrogenase	0	8	0	3	1	4	2	5	2	4	1	7	0	8	4	5
tr|A0A5F7ZBU8|A0A5F7ZBU8_MACMU	A0A5F7ZBU8	A0A5F7ZBU8_MACMU	CCT4	T-complex protein 1 subunit delta	2	1	9	2	2	1	7	5	2	2	6	3	1	0	9	2
tr|A0A1D5Q9E4|A0A1D5Q9E4_MACMU	A0A1D5Q9E4	A0A1D5Q9E4_MACMU	AKR1B10	Aldo-keto reductase family 1 member B10	5	8	2	2	0	0	1	1	6	5	2	1	5	0	9	4
tr|F6WWX7|F6WWX7_MACMU	F6WWX7	F6WWX7_MACMU	GSTM2	Glutathione S-transferase	0	6	1	5	1	5	2	2	4	7	1	2	1	4	8	2
tr|F6PJP5|F6PJP5_MACMU	F6PJP5	F6PJP5_MACMU	CCT2	T-complex protein 1 subunit beta	3	2	2	1	4	2	7	1	2	2	5	0	4	0	14	1
tr|H9EMA0|H9EMA0_MACMU	H9EMA0	H9EMA0_MACMU	TBCB	Tubulin-folding cofactor B	3	0	8	0	6	0	10	0	4	0	8	1	3	0	7	0
tr|A0A1D5Q0K5|A0A1D5Q0K5_MACMU	A0A1D5Q0K5	A0A1D5Q0K5_MACMU	DPYSL2	Dihydropyrimidinase like 2	4	0	7	0	10	0	8	0	2	0	6	2	3	0	6	1
tr|F7A091|F7A091_MACMU	F7A091	F7A091_MACMU	RAB6A	"RAB6A, member RAS onco family"	7	1	6	0	7	1	8	1	3	0	6	0	3	0	5	0
tr|A0A5F8AVB2|A0A5F8AVB2_MACMU	A0A5F8AVB2	A0A5F8AVB2_MACMU	SERPINB1	Serpin family B member 1	0	5	1	6	0	1	0	2	4	6	1	4	1	5	2	8
tr|F6T521|F6T521_MACMU	F6T521	F6T521_MACMU	TCP1	T-complex protein 1 subunit alpha	3	2	4	0	2	0	5	2	2	2	6	1	4	0	12	1
tr|F6VIT7|F6VIT7_MACMU	F6VIT7	F6VIT7_MACMU	RUVBL1	RuvB-like helicase	3	0	4	1	9	2	8	2	3	0	6	2	4	0	1	1
tr|A0A5F8ARL1|A0A5F8ARL1_MACMU	A0A5F8ARL1	A0A5F8ARL1_MACMU	PKLR	Pyruvate kinase	3	2	2	3	3	0	3	1	7	1	3	2	4	1	8	2
sp|Q6DN04|MIF_MACMU	Q6DN04	MIF_MACMU	MIF	Macrophage migration inhibitory factor	1	4	1	4	2	4	1	7	1	3	2	7	1	2	1	3
tr|A0A1D5R1I4|A0A1D5R1I4_MACMU	A0A1D5R1I4	A0A1D5R1I4_MACMU	PRKACA	cAMP-dependent protein kinase	3	2	4	4	2	1	2	1	4	1	4	2	5	0	8	1
tr|F6RZ23|F6RZ23_MACMU	F6RZ23	F6RZ23_MACMU	PPL	Periplakin	2	0	4	0	3	0	11	0	6	0	11	0	5	0	2	0
tr|F7FR05|F7FR05_MACMU	F7FR05	F7FR05_MACMU	CAP1	Adenylyl cyclase-associated protein	3	1	3	0	3	1	3	0	3	1	10	2	5	2	4	2
tr|H9YVT1|H9YVT1_MACMU	H9YVT1	H9YVT1_MACMU	FDPS	Farnesyl pyrophosphate synthase	5	2	2	2	2	0	4	3	5	1	2	2	4	2	5	2
tr|F6ZET3|F6ZET3_MACMU	F6ZET3	F6ZET3_MACMU	EIF4A1	ATP-dependent RNA helicase	1	1	5	2	4	1	5	0	3	2	2	4	4	1	7	0
tr|G7NQI2|G7NQI2_MACMU	G7NQI2	G7NQI2_MACMU	MVP	Major vault protein	1	1	0	0	6	1	8	1	6	2	2	1	3	0	7	2
tr|A0A1D5QUV8|A0A1D5QUV8_MACMU	A0A1D5QUV8	A0A1D5QUV8_MACMU	HSPA4	Heat shock 70 kDa protein 4	4	0	2	2	5	0	8	0	2	1	5	1	0	2	7	1
tr|A0A5F8ATC3|A0A5F8ATC3_MACMU	A0A5F8ATC3	A0A5F8ATC3_MACMU	RIDA	2-iminobutanoate/2-iminopropanoate deaminase	0	6	0	2	0	2	0	2	3	7	0	5	0	3	2	8
tr|F7H568|F7H568_MACMU	F7H568	F7H568_MACMU	MTPN	Myotrophin	3	2	4	2	2	1	7	4	1	1	1	6	2	1	2	1
tr|H9H3J2|H9H3J2_MACMU	H9H3J2	H9H3J2_MACMU	ENO3	phosphopyruvate hydratase	1	1	3	0	6	0	11	4	2	0	6	1	0	0	5	0
tr|A0A5F7ZW22|A0A5F7ZW22_MACMU	A0A5F7ZW22	A0A5F7ZW22_MACMU	RUVBL2	RuvB-like helicase	4	0	6	2	6	2	6	0	3	0	3	1	1	0	5	0
tr|A0A5F8A1T9|A0A5F8A1T9_MACMU	A0A5F8A1T9	A0A5F8A1T9_MACMU	UBA1	E1 ubiquitin-activating enzyme	0	0	4	2	5	2	5	3	4	2	4	1	0	0	7	0
tr|F6RV29|F6RV29_MACMU	F6RV29	F6RV29_MACMU	PYGB	"Alpha-1,4 glucan phosphorylase"	2	0	4	0	4	0	6	0	5	1	5	1	3	0	7	0
tr|A0A5F7Z7J0|A0A5F7Z7J0_MACMU	A0A5F7Z7J0	A0A5F7Z7J0_MACMU	RAB11B	"RAB11B, member RAS onco family"	1	0	5	1	7	1	7	0	2	0	8	1	1	1	1	1
tr|F6X1V9|F6X1V9_MACMU	F6X1V9	F6X1V9_MACMU	ENO2	phosphopyruvate hydratase	0	3	2	1	2	0	2	3	1	7	1	1	0	2	6	6
tr|F7EBL3|F7EBL3_MACMU	F7EBL3	F7EBL3_MACMU	MDN1	Midasin	1	1	0	1	1	1	0	2	5	6	1	5	0	7	1	5
tr|H9EM17|H9EM17_MACMU	H9EM17	H9EM17_MACMU	DSTN	Destrin isoform a	4	2	2	1	6	0	6	0	1	1	5	0	2	0	6	1
tr|H9Z5Q5|H9Z5Q5_MACMU	H9Z5Q5	H9Z5Q5_MACMU	ADSL	Adenylosuccinate lyase	0	4	0	4	2	3	3	3	1	4	0	3	6	3	0	1
tr|F6PLE2|F6PLE2_MACMU	F6PLE2	F6PLE2_MACMU	YKT6	Synaptobrevin homolog YKT6	1	0	5	0	9	0	6	0	3	0	5	0	1	0	4	2
tr|F6W8M4|F6W8M4_MACMU	F6W8M4	F6W8M4_MACMU	SPTBN2	Spectrin beta chain	1	0	8	0	5	0	5	0	3	0	7	0	0	1	6	0
tr|F7CMB6|F7CMB6_MACMU	F7CMB6	F7CMB6_MACMU	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2	3	0	8	0	4	0	7	0	0	0	10	0	0	0	3	0
tr|G7N6Y5|G7N6Y5_MACMU	G7N6Y5	G7N6Y5_MACMU	GPD1	Glycerol-3-phosphate dehydrogenase [NAD(+)]	1	2	1	0	2	0	7	3	4	0	5	3	2	1	4	0
tr|A0A1D5Q161|A0A1D5Q161_MACMU	A0A1D5Q161	A0A1D5Q161_MACMU	PTPA	Serine/threonine-protein phosphatase 2A activator	2	1	1	0	1	1	3	0	6	3	2	1	1	1	10	1
tr|A0A5F7ZFS9|A0A5F7ZFS9_MACMU	A0A5F7ZFS9	A0A5F7ZFS9_MACMU	CYRIB	CYFIP related Rac1 interactor B	3	1	2	2	3	1	2	4	1	1	2	2	1	3	4	2
tr|F6RRV0|F6RRV0_MACMU	F6RRV0	F6RRV0_MACMU	PPP2R1A	Protein phosphatase 2 scaffold subunit Aalpha	2	0	3	0	11	0	7	2	1	0	1	1	3	1	2	0
tr|F6WHT9|F6WHT9_MACMU	F6WHT9	F6WHT9_MACMU	NAGK	N-acetyl-D-glucosamine kinase	5	2	2	0	2	1	2	0	7	1	2	1	4	2	2	1
tr|G7NLB5|G7NLB5_MACMU	G7NLB5	G7NLB5_MACMU	PRDX2	Peroxiredoxin-2 isoform a	0	4	1	1	0	4	1	5	1	3	0	4	2	4	1	3
tr|A0A1D5Q264|A0A1D5Q264_MACMU	A0A1D5Q264	A0A1D5Q264_MACMU	ANXA5	Annexin	0	0	1	2	1	0	3	5	2	4	1	1	4	1	7	1
tr|A0A5F8A9Q1|A0A5F8A9Q1_MACMU	A0A5F8A9Q1	A0A5F8A9Q1_MACMU	NAP1L4	Nucleosome assembly protein 1 like 4	1	0	4	0	8	1	9	0	0	1	5	1	1	0	2	0
tr|F6WM87|F6WM87_MACMU	F6WM87	F6WM87_MACMU	PRKAR1A	Protein kinase cAMP-dependent type I regulatory subunit alpha	5	0	4	0	7	0	6	0	1	0	2	1	1	0	5	1
tr|A0A1D5QJF8|A0A1D5QJF8_MACMU	A0A1D5QJF8	A0A1D5QJF8_MACMU	MGLL	Monoglyceride lipase	0	1	4	1	1	1	2	2	1	2	1	1	0	0	14	1
tr|A0A1D5QTS1|A0A1D5QTS1_MACMU	A0A1D5QTS1	A0A1D5QTS1_MACMU	FHL1	Four and a half LIM domains 1	4	0	4	0	6	0	4	0	2	0	1	2	2	0	6	1
tr|A0A1D5QZ63|A0A1D5QZ63_MACMU	A0A1D5QZ63	A0A1D5QZ63_MACMU	ACTN4	Actinin alpha 4	0	6	2	3	0	1	1	5	1	3	0	1	2	3	3	1
tr|G7MGP9|G7MGP9_MACMU	G7MGP9	G7MGP9_MACMU	AKR1A1	Aldo-keto reductase family 1 member A1	2	1	2	3	1	2	2	1	3	1	1	3	2	3	4	1
tr|F7GUR7|F7GUR7_MACMU	F7GUR7	F7GUR7_MACMU	EIF4A2	ATP-dependent RNA helicase	4	1	0	0	4	0	5	1	2	0	3	0	3	1	5	2
tr|A0A1D5Q6B2|A0A1D5Q6B2_MACMU	A0A1D5Q6B2	A0A1D5Q6B2_MACMU	SPTB	Spectrin beta chain	0	0	7	0	9	0	6	0	1	0	6	0	1	0	0	0
tr|A0A1D5Q8I4|A0A1D5Q8I4_MACMU	A0A1D5Q8I4	A0A1D5Q8I4_MACMU	CCT5	T-complex protein 1 subunit epsilon	1	2	3	0	5	1	4	0	2	1	2	0	2	0	6	1
tr|A0A1D5RA91|A0A1D5RA91_MACMU	A0A1D5RA91	A0A1D5RA91_MACMU	GYG1	Glycogenin 1	2	1	1	1	2	2	1	2	3	2	0	0	3	0	9	1
tr|F7GDB8|F7GDB8_MACMU	F7GDB8	F7GDB8_MACMU	S100A4	Protein S100	1	1	2	2	1	3	1	4	2	0	4	6	1	1	1	0
tr|A0A1I7Q469|A0A1I7Q469_MACMU	A0A1I7Q469	A0A1I7Q469_MACMU	NAXD	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	0	6	0	2	0	1	0	2	1	7	0	2	1	2	2	3
tr|F7H3Z2|F7H3Z2_MACMU	F7H3Z2	F7H3Z2_MACMU	ALDH1A3	Aldehyde dehydrogenase 1 family member A3	0	3	0	2	2	2	0	2	1	4	0	3	2	3	2	3
tr|G7N7A8|G7N7A8_MACMU	G7N7A8	G7N7A8_MACMU	RAB5B	"RAB5B, member RAS onco family"	2	2	3	2	2	1	4	1	1	3	3	1	1	1	1	1
tr|F6RUH7|F6RUH7_MACMU	F6RUH7	F6RUH7_MACMU	PRPS1	ribose-phosphate diphosphokinase	2	1	2	0	2	1	3	1	3	1	2	0	2	2	4	1
tr|A0A1D5Q9Q5|A0A1D5Q9Q5_MACMU	A0A1D5Q9Q5	A0A1D5Q9Q5_MACMU	NUDT5	Nudix hydrolase 5	3	4	0	1	1	1	1	2	2	3	1	1	2	1	2	1
tr|A0A1D5R7P5|A0A1D5R7P5_MACMU	A0A1D5R7P5	A0A1D5R7P5_MACMU	IMPA1	Inositol-1-monophosphatase	0	4	1	1	1	1	1	1	4	5	1	1	2	1	2	0
tr|A0A5F7Z7P5|A0A5F7Z7P5_MACMU	A0A5F7Z7P5	A0A5F7Z7P5_MACMU	CCT8	T-complex protein 1 subunit theta	0	0	4	1	4	1	6	2	1	0	1	1	1	1	2	1
tr|F7GSV4|F7GSV4_MACMU	F7GSV4	F7GSV4_MACMU	DDAH1	dimethylargininase	3	0	0	1	2	3	3	2	2	0	5	1	1	0	3	0
tr|H9EQT6|H9EQT6_MACMU	H9EQT6	H9EQT6_MACMU	CERK	Ceramide kinase	2	0	3	0	5	0	1	0	2	0	9	0	3	0	1	0
tr|F7B0U6|F7B0U6_MACMU	F7B0U6	F7B0U6_MACMU	TUBA4A	Tubulin alpha chain	2	1	3	2	4	3	5	1	0	1	1	2	0	0	1	0
tr|A0A1D5QEZ4|A0A1D5QEZ4_MACMU	A0A1D5QEZ4	A0A1D5QEZ4_MACMU	NACA	Nascent polypeptide associated complex subunit alpha	3	1	3	0	6	0	3	0	4	0	1	0	2	0	2	0
tr|A0A5F8AA30|A0A5F8AA30_MACMU	A0A5F8AA30	A0A5F8AA30_MACMU	TALDO1	Transaldolase	1	6	0	1	0	2	0	2	2	2	0	1	1	4	1	2
tr|G7ME45|G7ME45_MACMU	G7ME45	G7ME45_MACMU	CADM3	Cell adhesion molecule 3	1	0	5	0	2	0	5	0	3	0	4	0	1	0	4	0
tr|F6XH68|F6XH68_MACMU	F6XH68	F6XH68_MACMU	FBXO17	Uncharacterized protein	1	3	0	1	0	2	0	1	1	2	0	1	0	1	10	1
tr|G7MX33|G7MX33_MACMU	G7MX33	G7MX33_MACMU	PSMB5	Proteasome subunit beta	1	1	1	2	0	2	1	1	2	1	1	1	4	1	4	1
tr|A0A5F7ZA43|A0A5F7ZA43_MACMU	A0A5F7ZA43	A0A5F7ZA43_MACMU	FAH	Fumarylacetoacetase	0	5	0	1	0	0	0	1	3	8	0	0	0	1	1	3
tr|F7C1V2|F7C1V2_MACMU	F7C1V2	F7C1V2_MACMU	CAV1	Caveolin 1	0	0	2	0	0	0	2	0	8	0	6	0	0	0	5	0
sp|P69895|TBB5_MACMU	P69895	TBB5_MACMU	TUBB	Tubulin beta chain	2	0	2	0	0	1	5	0	0	0	5	1	2	1	3	0
tr|A0A5F8AEU4|A0A5F8AEU4_MACMU	A0A5F8AEU4	A0A5F8AEU4_MACMU	HSP90AB1	Heat shock protein 90 alpha family class B member 1	2	0	1	0	4	0	3	2	2	0	2	0	1	0	4	0
tr|F6X1E8|F6X1E8_MACMU	F6X1E8	F6X1E8_MACMU	HSPB3	Heat shock protein family B (small) member 3	0	0	1	3	0	2	1	1	1	1	2	3	2	1	2	1
tr|F7AWM6|F7AWM6_MACMU	F7AWM6	F7AWM6_MACMU	RAP2B	Ras-related protein Rap-2	1	1	0	0	3	0	2	0	2	2	3	1	0	1	4	1
tr|F7CA88|F7CA88_MACMU	F7CA88	F7CA88_MACMU	LOC720791	Ribonuclease inhibitor	2	1	1	1	2	0	2	1	2	1	1	2	1	0	4	0
tr|F7EFD7|F7EFD7_MACMU	F7EFD7	F7EFD7_MACMU	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	2	0	1	2	1	1	3	1	2	1	1	2	1	1	2	0
tr|F7F694|F7F694_MACMU	F7F694	F7F694_MACMU	PCBD1	4a-hydroxytetrahydrobiopterin dehydratase	0	2	0	3	0	3	0	1	1	4	0	2	0	2	0	3
tr|F7HMT2|F7HMT2_MACMU	F7HMT2	F7HMT2_MACMU	LOC694593	phosphopyruvate hydratase	1	0	3	0	4	0	4	0	1	0	3	0	2	0	3	0
CONT_046|gi|88041|pir||A31994	"CONT_046|gi|88041|pir||A31994 keratin 10, type I, epidermal [Homo sapiens]."	"CONT_046|gi|88041|pir||A31994 keratin 10, type I, epidermal [Homo sapiens]."		"CONT_046|gi|88041|pir||A31994 keratin 10, type I, epidermal [Homo sapiens]."	0	1	3	1	1	1	2	1	1	0	1	0	2	1	3	2
CONT_156|gi|1363944|pir||JC4313	"CONT_156|gi|1363944|pir||JC4313 type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa]."	"CONT_156|gi|1363944|pir||JC4313 type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa]."		"CONT_156|gi|1363944|pir||JC4313 type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa]."	0	0	2	0	1	3	0	0	0	0	0	0	4	0	8	2
tr|A0A1D5Q7A4|A0A1D5Q7A4_MACMU	A0A1D5Q7A4	A0A1D5Q7A4_MACMU	RAB2A	"RAB2A, member RAS onco family"	1	0	1	1	4	0	3	0	3	0	3	1	2	0	1	0
tr|F6RG83|F6RG83_MACMU	F6RG83	F6RG83_MACMU	MIP	Major intrinsic protein of lens fiber	1	0	4	0	2	0	2	0	0	0	6	0	0	0	5	0
tr|I0FJU1|I0FJU1_MACMU	I0FJU1	I0FJU1_MACMU	GNAI2	G protein subunit alpha i2	4	0	2	0	1	0	2	0	3	0	2	0	1	0	5	0
tr|A0A5F7ZDE6|A0A5F7ZDE6_MACMU	A0A5F7ZDE6	A0A5F7ZDE6_MACMU	ACTBL2	Actin beta like 2	0	0	2	1	2	0	1	3	0	0	2	1	1	0	3	3
tr|F6UAX5|F6UAX5_MACMU	F6UAX5	F6UAX5_MACMU	EPB41L1	Erythrocyte membrane protein band 4.1 like 1	0	0	3	0	4	0	4	0	1	0	5	0	0	0	2	0
tr|F6Z9A6|F6Z9A6_MACMU	F6Z9A6	F6Z9A6_MACMU	NAPA	NSF attachment protein alpha	2	0	2	1	3	0	2	0	2	0	2	0	1	0	4	0
tr|F7GQT3|F7GQT3_MACMU	F7GQT3	F7GQT3_MACMU	GALM	Aldose 1-epimerase	3	2	0	0	0	0	2	0	2	2	0	0	2	1	3	2
tr|F7HPP8|F7HPP8_MACMU	F7HPP8	F7HPP8_MACMU	MYH14	Myosin heavy chain 14	1	0	2	0	2	0	2	0	2	0	6	0	0	0	4	0
tr|H9FWT3|H9FWT3_MACMU	H9FWT3	H9FWT3_MACMU	PREP	Prolyl endopeptidase	2	1	0	1	1	2	1	3	2	0	0	0	1	1	3	1
tr|A0A5F8ABH2|A0A5F8ABH2_MACMU	A0A5F8ABH2	A0A5F8ABH2_MACMU	ACBD5	Acyl-CoA-binding domain-containing protein 5	1	3	0	0	0	1	0	0	2	1	0	2	0	2	2	5
tr|A0A1D5QMG4|A0A1D5QMG4_MACMU	A0A1D5QMG4	A0A1D5QMG4_MACMU	RAB18	Ras-related protein Rab-18	2	1	0	2	1	2	1	1	1	1	1	2	0	1	1	2
CONT_082|gi|125080|sp|P02533|K1CN_HUMAN	"CONT_082|gi|125080|sp|P02533|K1CN_HUMAN KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens]."	"CONT_082|gi|125080|sp|P02533|K1CN_HUMAN KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens]."		"CONT_082|gi|125080|sp|P02533|K1CN_HUMAN KERATIN, TYPE I CYTOSKELETAL 14 (CYTOKERATIN 14) (K14) (CK 14) [Homo sapiens]."	1	0	2	0	0	1	0	0	0	0	0	0	6	0	7	1
tr|A0A1D5RAM4|A0A1D5RAM4_MACMU	A0A1D5RAM4	A0A1D5RAM4_MACMU	CFL1	Cofilin 1	3	0	5	0	1	0	4	0	1	0	3	0	0	0	1	0
tr|F7B786|F7B786_MACMU	F7B786	F7B786_MACMU	KRT1	"Keratin, type II cytoskeletal 1"	2	2	5	1	1	0	0	0	0	0	1	0	3	0	1	2
tr|F7DW08|F7DW08_MACMU	F7DW08	F7DW08_MACMU	QDPR	Quinoid dihydropteridine reductase	0	1	1	2	0	1	0	2	1	1	0	2	1	2	2	2
tr|F7H566|F7H566_MACMU	F7H566	F7H566_MACMU		Purine nucleoside phosphorylase	0	3	0	1	0	1	0	0	0	5	0	1	0	1	1	5
tr|H9ELS9|H9ELS9_MACMU	H9ELS9	H9ELS9_MACMU	HUWE1	HECT-type E3 ubiquitin transferase	0	4	1	4	2	0	1	3	1	1	0	0	0	0	1	0
tr|A0A5F7ZHY0|A0A5F7ZHY0_MACMU	A0A5F7ZHY0	A0A5F7ZHY0_MACMU	ARL3	ADP ribosylation factor like GTPase 3	0	0	1	1	4	1	3	1	0	0	2	3	0	1	0	0
tr|F6X2B2|F6X2B2_MACMU	F6X2B2	F6X2B2_MACMU		Serine protease 2	0	2	6	0	2	0	3	0	1	0	0	0	2	0	1	0
tr|F7F6H6|F7F6H6_MACMU	F7F6H6	F7F6H6_MACMU	CARHSP1	Calcium-regulated heat-stable protein 1	0	0	1	2	1	0	2	2	1	1	2	3	0	0	0	2
tr|A0A1D5QUF9|A0A1D5QUF9_MACMU	A0A1D5QUF9	A0A1D5QUF9_MACMU	UBE2N	Ubiquitin conjugating enzyme E2 N	0	1	1	2	2	2	3	1	0	0	2	0	0	0	2	0
tr|A0A1D5R125|A0A1D5R125_MACMU	A0A1D5R125	A0A1D5R125_MACMU	TPT1	"Tumor protein, translationally-controlled 1"	0	0	2	0	5	0	5	0	1	0	2	0	0	0	1	0
tr|A0A1D5R5G2|A0A1D5R5G2_MACMU	A0A1D5R5G2	A0A1D5R5G2_MACMU	SEC14L2	SEC14 like lipid binding 2	4	0	3	0	1	0	1	0	3	0	0	0	1	0	3	0
tr|F6UFI7|F6UFI7_MACMU	F6UFI7	F6UFI7_MACMU	PSMD3	26S proteasome non-ATPase regulatory subunit 3	3	0	2	0	3	1	1	1	1	0	1	0	1	0	2	0
tr|F7FXA9|F7FXA9_MACMU	F7FXA9	F7FXA9_MACMU	GNB1	G protein subunit beta 1	2	0	4	0	0	1	2	0	1	0	2	0	0	1	3	0
CONT_080|gi|71532|pir||KRHUEA	"CONT_080|gi|71532|pir||KRHUEA keratin, type II cytoskeletal (fragment) [Homo sapiens]."	"CONT_080|gi|71532|pir||KRHUEA keratin, type II cytoskeletal (fragment) [Homo sapiens]."		"CONT_080|gi|71532|pir||KRHUEA keratin, type II cytoskeletal (fragment) [Homo sapiens]."	1	1	2	0	0	0	1	0	0	0	0	0	5	0	5	1
sp|O19092|CYTC_MACMU	O19092	CYTC_MACMU	CST3	Cystatin-C	0	0	4	0	1	0	2	0	3	0	4	0	0	0	1	0
tr|A0A5F8A5T5|A0A5F8A5T5_MACMU	A0A5F8A5T5	A0A5F8A5T5_MACMU	MYO18A	Myosin XVIIIA	0	0	4	0	3	0	2	0	1	0	3	0	0	1	1	0
tr|A0A5F8AN99|A0A5F8AN99_MACMU	A0A5F8AN99	A0A5F8AN99_MACMU	ARHGDIA	Rho GDP dissociation inhibitor alpha	1	1	0	1	2	1	0	2	1	1	0	1	1	1	1	1
tr|F7EKN1|F7EKN1_MACMU	F7EKN1	F7EKN1_MACMU	EIF3A	Eukaryotic translation initiation factor 3 subunit A	1	0	3	0	4	0	4	0	0	0	1	0	0	0	2	0
tr|F7HNV4|F7HNV4_MACMU	F7HNV4	F7HNV4_MACMU	ACTA1	"Actin alpha 1, skeletal muscle"	5	0	0	0	2	1	0	0	2	1	0	1	1	1	1	0
tr|G7NIL2|G7NIL2_MACMU	G7NIL2	G7NIL2_MACMU	CAVIN1	Caveolae associated protein 1	2	0	2	0	0	0	0	0	5	0	2	0	0	0	4	0
tr|G7NJ84|G7NJ84_MACMU	G7NJ84	G7NJ84_MACMU	PSMC5	26S protease regulatory subunit 8 isoform 1	1	0	2	0	3	0	4	0	1	0	2	0	1	0	1	0
tr|G7NLH4|G7NLH4_MACMU	G7NLH4	G7NLH4_MACMU	BLVRB	Biliverdin reductase B	1	0	0	3	3	1	2	1	0	0	0	2	1	0	1	0
tr|H9ENJ3|H9ENJ3_MACMU	H9ENJ3	H9ENJ3_MACMU	TIPRL	TIP41-like protein	3	0	1	1	0	0	0	0	3	0	0	1	1	1	4	0
tr|H9ER37|H9ER37_MACMU	H9ER37	H9ER37_MACMU	BLMH	Bleomycin hydrolase	1	1	0	1	1	1	1	1	1	1	0	1	1	2	1	1
tr|A0A1D5Q3A0|A0A1D5Q3A0_MACMU	A0A1D5Q3A0	A0A1D5Q3A0_MACMU	GPX4	Glutathione peroxidase	0	0	3	0	3	0	1	1	1	0	1	0	1	0	3	0
tr|A0A1D5Q6F0|A0A1D5Q6F0_MACMU	A0A1D5Q6F0	A0A1D5Q6F0_MACMU	TSN	Translin	1	0	1	0	2	0	4	0	0	0	2	1	2	0	1	0
tr|A0A1D5QE04|A0A1D5QE04_MACMU	A0A1D5QE04	A0A1D5QE04_MACMU	ACTN1	Actinin alpha 1	0	2	1	0	2	0	1	0	1	1	1	0	1	1	1	2
tr|A0A1D5R3D6|A0A1D5R3D6_MACMU	A0A1D5R3D6	A0A1D5R3D6_MACMU	EML2	HELP domain-containing protein	1	0	0	0	0	1	0	1	2	0	1	0	3	2	3	0
tr|A0A1D5RHA9|A0A1D5RHA9_MACMU	A0A1D5RHA9	A0A1D5RHA9_MACMU	ACTR1A	Actin related protein 1A	1	0	1	0	1	0	1	1	1	1	1	2	2	0	2	0
tr|A0A5F7ZJP4|A0A5F7ZJP4_MACMU	A0A5F7ZJP4	A0A5F7ZJP4_MACMU	MYH10	Myosin heavy chain 10	1	0	1	0	3	0	5	0	0	0	4	0	0	0	0	0
tr|A0A5F8ADY1|A0A5F8ADY1_MACMU	A0A5F8ADY1	A0A5F8ADY1_MACMU	VPS35	VPS35 retromer complex component	2	0	0	1	1	0	2	0	1	1	1	1	0	1	2	1
tr|A0A5F8ALG2|A0A5F8ALG2_MACMU	A0A5F8ALG2	A0A5F8ALG2_MACMU	DDT	D-dopachrome tautomerase	0	3	0	1	0	1	0	1	0	1	0	3	0	1	0	3
tr|A0A5K1TZ51|A0A5K1TZ51_MACMU	A0A5K1TZ51	A0A5K1TZ51_MACMU	FKBP4	peptidylprolyl isomerase	0	1	0	0	2	0	2	0	1	0	2	0	4	0	2	0
